;Sr88;Y89;Mo95;Ag107;Cd111;Ba137;Nd146;Pb208;Th232;U238;Mg24;Al27;P31;S32;Ca42;Ti47;V51;Cr52;Mn55;Fe56;Co59;Ni60;Cu63;Zn66
sample-1;1374.195683;18.00532638;0.795724997;0.148868621;0.178586797;1408.927621;15.67675452;7.644792506;2.285539147;0.555568333;5372.101096;24715.47169;385.6999875;829.2595975;259878.4013;1236.653298;41.69071276;25.57540684;916.0811102;13524.90194;11.00100223;33.65597334;61.85185674;17.6587069
sample-2;1451.770274;8.797139902;0.086960919;0.021401597;0.199387028;466.2776727;4.683698819;0.190176214;0.340662293;0.113513329;1791.592142;2440.80633;167.3504633;219.0101252;370393.1118;126.3729072;5.79089282;2.800087396;230.8275993;1631.563734;2.471748975;4.359423992;11.25019634;0
sample-3;1224.042666;9.130807774;0.240775412;0.061304441;0.193390337;389.8364188;5.711382307;1.891849115;0.938757975;0.290624003;3119.587224;10057.54493;261.9349208;406.2121083;311376.1813;550.0062643;19.19480537;12.10747895;181.2455422;5342.986154;2.898485799;7.665128176;25.28822984;4.108582149
sample-4;1332.558994;10.67736152;0.216494209;0.074580292;0.154595586;460.7996199;6.813981604;1.611779758;1.113733833;0.332181764;3214.190782;11620.99395;283.3477412;341.7099904;337322.4502;678.7585615;21.24602302;14.34387362;195.9348076;6447.730168;3.325314814;8.849691444;19.87761053;1.997362889
sample-5;1558.747193;8.623023347;0.342865323;0.135459474;0.232442133;311.4832634;6.061943247;2.628019218;1.333142631;0.794758448;4822.373363;14397.28203;406.7468517;893.9803498;277977.875;972.5088952;28.90109582;28.61805404;165.9270509;9904.470238;3.27316473;11.79103568;10.94059264;8.159193241
sample-6;1647.215615;8.743000112;0.287722574;0.131815154;0.175568924;322.5439289;5.915897358;2.262180664;1.242157908;0.822596314;4625.507304;14999.91297;396.76223;680.1817041;295612.7074;999.2372391;28.14281238;28.34496587;179.8833781;10047.81479;3.609132157;11.59917974;10.68727364;8.66269256
sample-7;2394.263757;12.22342943;0.220046146;0.061041218;0.285851557;358.979829;6.842273878;1.090404584;1.13177293;1.008957344;3043.289418;7530.592814;347.6559387;434.3568002;312325.2982;395.1406465;14.15530954;12.95979495;190.7826887;3579.264363;2.64263809;6.093997876;12.74510853;0
sample-8;149.2742561;40.35783829;2.394650959;0.254369953;0.141525611;527.2990379;33.10805955;18.86757386;8.47935917;1.772179829;11982.87689;48501.5779;1095.750997;730.6715765;12861.28686;2798.140007;80.98509244;62.08225472;2734.781435;27069.91118;35.82925382;84.80934015;106.5854769;46.08915536
sample-9;1624.878792;16.32415192;0.313780886;0.034585068;0.290514568;545.2930147;7.939788299;0.11758923;0.419329283;0.160028153;1809.280398;2144.45152;207.8917848;40.29726317;370884.8405;124.2000084;5.228947816;3.326140277;391.5045377;1434.489566;5.594606304;6.163373462;9.730037164;0
sample-10;712.2121214;83.08183675;9.862264236;0.411438884;0.544685735;1278.801984;60.01729192;47.86072806;7.979533072;1.231698629;12888.27283;43311.13503;1437.771754;1663.723603;131859.2815;2694.454475;105.457036;35.7677917;11134.7748;43572.10341;116.2240663;245.7026277;228.9857118;87.1340247
sample-11;1694.040141;13.54094714;0.243146985;0.043237435;0.237042876;588.0553063;7.221923255;1.145029001;0.421295898;0.138364665;1780.047537;1892.754304;211.3539905;283.3071856;379758.1933;113.9255532;5.949216653;1.617334389;667.6154922;1909.456925;5.469535467;8.122279244;12.95240936;0
sample-12;1582.086237;10.62054216;0.231169696;0.070108842;0.246959975;669.8849335;5.948514189;1.951362772;0.39853498;0.198107199;2693.714984;4323.953995;259.0666986;255.1260764;358808.2031;316.2363539;14.4664227;7.571123337;627.0528522;4508.18961;3.705347047;5.266689909;20.49515151;0
sample-13;1693.560385;11.33252078;0.253073701;0.039284782;0.258197803;700.4576184;5.861972619;2.602474441;0.352118383;0.188063006;2294.656827;2986.278216;273.7699491;451.7801118;360504.0814;179.6535761;11.74757304;3.594272838;741.6716243;3625.405459;3.482965957;5.130934076;19.58744901;0
sample-14;1667.919513;10.66192083;0.287368845;0.042690618;0.29175988;669.1729956;5.102382647;2.205763239;0.301145386;0.171963337;2072.792454;2698.067541;262.7439207;505.4935075;381512.599;176.7576979;11.55622828;3.052257204;630.0227717;3435.2745;3.220092319;5.650042288;17.16943467;0
sample-15;1519.538551;10.14888592;0.447134598;0.069514661;0.378893099;551.805599;4.104420607;3.739786925;0.268453244;0.188843483;2596.83985;3463.420567;279.1235182;439.9032908;350729.1912;425.6563501;16.92822051;2.533592967;770.4854826;4984.746638;3.92974274;11.24686108;11.12769309;1.242861032
sample-16;1641.399882;13.26424896;0.531805551;0.07207621;0.412698918;710.4660566;5.87518513;7.854915473;0.354992307;0.278200317;3240.112281;5006.00531;442.8707427;773.7553697;344547.9923;599.0799267;25.98222147;4.048790662;1274.000167;7633.01592;5.331134972;11.68608607;21.0495928;3.29686047
sample-17;1474.932827;11.59682678;0.367652787;0.077647435;0.340293791;613.1312437;5.579411146;1.323133134;0.332660599;0.193481678;3976.239151;8024.963485;323.2895244;727.8647088;324570.4053;957.2133441;26.97909629;4.085870554;422.47839;7418.188909;5.254490504;4.353467586;14.73425216;0.170146896
sample-18;1331.772027;11.2828817;0.26417731;0.099851035;0.26218029;486.9187236;5.531176777;1.26325824;0.339313933;0.199661693;5346.453502;13210.41521;329.900403;412.4695064;326449.2996;1744.153094;44.95379194;7.461725221;434.2712667;12173.85477;7.541891338;6.498020087;13.87615573;5.065300375
sample-19;1544.240524;12.9338065;0.241624562;0.081408491;0.314970231;704.3345588;6.441414327;1.754574055;0.37321328;0.219748051;3759.371022;8953.63744;350.8497883;448.0101719;332595.2929;1102.380464;31.3620359;5.741509379;551.0465319;8655.783799;6.115780364;7.414414852;18.63578204;3.655579358
sample-20;1607.260769;13.17792358;0.272303553;0.037857495;0.266084107;546.4518474;6.768379274;2.215745097;0.372839193;0.153442918;1881.516958;1861.489261;231.2984777;289.292915;373735.3349;137.974074;8.791862379;1.651668422;766.2040596;2781.684901;4.794922145;7.280807509;13.91506309;0
sample-21;1697.916157;18.34142628;0.299317799;0.025407929;0.28723354;511.539076;9.05296908;1.457857395;0.441862359;0.181060739;1732.839046;1899.371909;244.4177711;0;363426.4793;126.9476192;6.397530636;1.575291604;762.4008556;2063.223616;7.760573077;9.069701131;13.96444572;0
sample-22;1224.042666;9.130807774;0.240775412;0.061304441;0.193390337;389.8364188;5.711382307;1.891849115;0.938757975;0.290624003;3119.587224;10057.54493;261.9349208;406.2121083;311376.1813;550.0062643;19.19480537;12.10747895;181.2455422;5342.986154;2.898485799;7.665128176;25.28822984;4.108582149
sample-23;1332.558994;10.67736152;0.216494209;0.074580292;0.154595586;460.7996199;6.813981604;1.611779758;1.113733833;0.332181764;3214.190782;11620.99395;283.3477412;341.7099904;337322.4502;678.7585615;21.24602302;14.34387362;195.9348076;6447.730168;3.325314814;8.849691444;19.87761053;1.997362889
sample-24;1163.977474;9.381248324;0.223178914;0;0.169317666;385.2175784;6.12222851;2.925080077;1.035678843;0.280600653;2727.234732;10231.44867;265.8328795;1124.821728;272967.3898;560.4342944;17.38143901;11.47520791;176.7267644;5708.063135;2.707701605;10.1521547;23.14293526;15.92248972
sample-25;1179.809155;9.75175423;0.224039808;0.00053534;0.141062101;390.8670228;5.976268574;2.910376146;0.996542206;0.287050524;2685.353453;9985.876632;262.3937102;1318.717583;276504.2941;536.9404424;16.20474311;11.53497191;178.4665779;5786.365794;3.034039696;8.506553289;21.82661658;15.09792757
sample-26;1185.447293;9.541782608;0.282519242;0.00106011;0.137019182;405.706377;6.188125493;2.987389205;1.038550841;0.294325621;2709.600703;10315.49468;263.2384961;1294.919259;275778.3138;557.1316551;17.22810817;11.32462214;188.167621;5777.368753;3.2211434;8.543424274;21.28223279;14.5057464
sample-27;1169.863435;9.415938523;0.250425311;0;0.146214354;406.205805;6.144458824;2.764514659;1.076271251;0.305081404;2605.178497;9951.493255;250.8498643;1265.611772;280522.0131;535.0291575;16.68624787;10.71724627;175.6531515;5668.83257;2.725967238;9.183058934;21.75589827;14.53849194
sample-28;1200.896085;9.61472645;0.250551346;0;0.164614847;407.8900428;6.065781312;2.74561307;0.981052956;0.281711138;2592.160387;10246.91743;258.1384356;1138.824385;284457.776;535.7287139;17.21546137;11.24084243;204.4580275;5851.694042;2.949421928;9.529370603;21.76632157;16.47890429
sample-29;1137.631623;9.041694039;0.267682594;0;0.13108844;410.2001102;5.892949718;2.644316005;0.971674001;0.276967975;2438.825438;10089.21914;217.1464273;861.5499304;270326.9308;555.7418369;16.22848666;11.35619153;158.5842399;5895.71647;2.935856695;8.457301775;21.87105745;13.66098848
sample-30;1131.469572;8.991501143;0.154843196;0;0.148341226;385.0418075;5.787475145;2.435107921;0.952431768;0.248354531;2330.686534;9402.084372;219.151766;1057.009501;272015.0399;489.5838418;14.82762065;10.81975859;91.58240534;5386.807661;2.182975999;5.036858908;19.96778863;13.22163423
sample-31;1141.259215;9.11760134;0.29186632;0;0.164139792;449.5693681;6.018272323;2.709987188;1.082314168;0.278701212;2495.730979;10701.84388;211.5056068;1008.961422;265613.1586;555.2316986;17.08538383;10.79933396;133.1305365;5974.664078;2.986727999;6.932805467;22.59190973;15.63557569
sample-32;1135.024511;9.465256223;0.264401731;0;0.112112849;492.5551794;6.495487292;2.84163996;1.192718557;0.312093915;2570.168605;11673.70779;206.8400627;939.460884;262128.0649;592.1124751;17.01156395;12.58378506;106.3581752;6547.743553;2.534890519;6.950182261;23.98292006;16.27672259
sample-33;1112.897577;9.877801369;0.247700534;0;0.164789302;541.1494706;6.987789615;3.043694567;1.320507352;0.345520667;2636.083838;12328.25961;187.686233;856.7029034;255399.9719;660.2766385;18.83376415;13.39907496;104.9475392;7002.384316;2.710241607;7.510052888;21.86351103;17.67558981
sample-34;712.2121214;83.08183675;9.862264236;0.411438884;0.544685735;1278.801984;60.01729192;47.86072806;7.979533072;1.231698629;12888.27283;43311.13503;1437.771754;1663.723603;131859.2815;2694.454475;105.457036;35.7677917;11134.7748;43572.10341;116.2240663;245.7026277;228.9857118;87.1340247
sample-35;621.0022746;84.99321849;8.94214699;0.165389964;0.480362293;1096.683631;58.84674025;41.9255302;7.090022167;1.080101724;11812.64672;36735.51031;1766.780772;2427.987672;117916.2188;2617.808872;94.30224336;32.55940922;10358.57047;40920.2992;102.0616516;229.2054816;213.3709851;93.31556599
sample-36;654.3845518;118.6464188;8.727576089;0.141647333;0.400096083;1252.377584;71.80418366;38.9107529;7.783841862;1.117031874;11170.61042;35873.21934;2532.840787;2048.043952;128334.8018;2698.568678;90.03929268;32.08760344;9858.77374;38656.34789;96.89958295;225.8603866;212.6518368;87.73938055
sample-37;642.1216546;121.8504492;8.643648311;0.127464451;0.40855418;1229.522375;74.25555712;39.69543583;7.502200503;1.148888254;10908.45505;35875.11415;2499.646909;2023.370142;125705.7084;2770.638002;89.7444361;32.25657706;10091.80339;39289.7663;99.88565256;234.4995236;214.2516007;89.85603707
sample-38;710.9603733;112.6212948;7.987018606;0.109288689;0.481037936;1182.449664;68.16819057;37.01085196;7.290795015;1.046663609;10767.48915;34563.35274;2416.832419;2018.096692;141707.3349;2676.30389;86.35399605;31.45445851;9503.434378;36661.98988;92.29303967;218.8571673;204.1431644;84.60789263
sample-39;1004.601604;71.82004166;4.896479092;0.052529668;0.404172449;921.5078282;41.84345087;19.07974456;4.049873331;0.630617229;6535.979258;19621.75996;1572.040852;1316.606159;224822.2318;1575.011328;47.70586387;19.00987501;5148.626856;20700.55819;52.29277492;125.9638499;115.6226452;50.50804118
sample-40;1213.204561;33.11877014;2.737661913;0.004492881;0.437307045;654.5742644;18.42879781;8.53472591;1.655045043;0.332044541;3723.211715;8900.392975;678.3495901;980.1131668;277294.8627;754.0993074;21.69037952;7.44944564;2222.959757;9576.297689;21.86535226;55.40670277;54.14694897;24.27952677
sample-41;1242.108599;21.87227982;2.002768689;0;0.365385995;572.4022054;11.96652314;5.3661125;1.035944422;0.253588479;2945.140295;5914.119786;454.7368428;914.1910138;291213.752;496.0557772;14.96764448;6.748832228;1431.189788;6472.111126;13.4649748;33.45285412;35.02459388;18.38582255
sample-42;1251.345537;23.92589226;2.311108686;0;0.399922518;612.7985761;13.21908219;6.555309783;1.204593405;0.275847283;3222.159431;6743.15876;516.2962306;965.7963176;289411.9572;543.5019149;16.641532;5.574337515;1719.287475;7230.411319;15.27479613;38.51411466;41.07287076;19.26413679
sample-43;1288.622899;20.64096521;2.022597701;0;0.357276382;588.7844989;11.33835792;5.147893658;0.877345925;0.244798002;2852.963041;5417.463923;411.2484692;902.1247442;293112.4393;467.4734641;14.45613792;4.642445553;1379.555509;6169.095856;11.9994937;30.84011879;33.18536579;16.03502573
sample-44;1262.276218;21.00541816;2.121723796;0;0.360446239;583.4702468;11.82773549;5.374690075;0.943973638;0.252232894;2982.813044;5613.086342;412.858756;1046.808563;291431.5932;456.3414822;13.94105158;4.596570994;1434.980955;6245.543647;13.11302873;29.57856007;35.16154413;17.56585518
sample-45;1262.359884;17.90545834;1.742508004;0;0.320079001;548.4200351;9.948949083;4.505787433;0.728752308;0.222974921;2822.22073;4712.805541;369.362334;1066.14652;287501.7701;404.4704798;11.73172677;3.883036324;1129.342898;5243.550305;10.54701878;25.15010359;28.58939403;13.22326374