;Sr Concentration;Y Concentration;Mo Concentration;Ag Concentration;Cd Concentration;Ba Concentration;Nd Concentration;Pb Concentration;Th Concentration;U Concentration;Mg Concentration;Al Concentration;P Concentration;S Concentration;Ca Concentration;Ti Concentration;V Concentration;Cr Concentration;Mn Concentration;Fe Concentration;Co Concentration;Ni Concentration;Cu Concentration;Zn Concentration
sample-1;2305;24;0;0;0;1034;0;16;44;0;NaN;NaN;0;3230;417089;1374;83;21;811;15793;54;39;92;49
sample-2;2733;0;0;0;0;323;0;8;0;0;NaN;NaN;0;3093;718807;240;27;0;188;2218;0;0;33;8
sample-3;2094;20;0;0;0;265;0;9;0;0;NaN;NaN;0;3709;557612;602;28;0;164;6685;36;0;37;24
sample-4;2162;0;0;0;0;322;0;8;0;0;NaN;NaN;0;3765;574203;680;28;8;171;7165;0;0;33;30
sample-5;3157;16;0;0;0;150;0;13;0;0;NaN;NaN;0;5026;494650;1099;33;26;163;13442;0;0;24;40
sample-6;2898;0;0;0;0;210;0;10;0;0;NaN;NaN;0;4141;490498;928;25;16;156;12119;0;0;24;39
sample-7;4654;28;0;0;0;284;0;11;73;0;NaN;NaN;0;3257;564012;428;23;12;169;4797;0;0;27;23
sample-8;296;72;0;0;0;314;0;29;0;0;NaN;NaN;0;1979;15640;3355;82;80;3211;45867;0;134;173;92
sample-9;2719;21;0;0;0;379;0;7;0;0;NaN;NaN;0;3575;713107;245;28;0;316;1797;22;0;25;14
sample-10;1450;147;21;0;0;857;0;74;0;0;NaN;NaN;0;4558;209803;3392;146;66;12224;73101;0;405;355;171
sample-11;3159;25;0;0;0;280;0;10;0;0;NaN;NaN;0;3419;732895;221;30;0;548;2717;0;0;29;16
sample-12;3008;17;0;0;0;484;0;13;0;0;NaN;NaN;0;3607;660238;419;35;9;537;5811;0;0;42;23
sample-13;3263;21;0;0;0;389;0;15;0;0;NaN;NaN;0;4054;683365;315;36;8;648;5140;0;0;41;21
sample-14;3020;29;0;0;0;320;0;15;0;0;NaN;NaN;0;3551;716024;323;36;0;537;4964;0;27;42;20
sample-15;2893;0;0;0;0;351;0;13;0;0;NaN;NaN;0;4126;680211;482;31;0;697;6734;0;0;34;29
sample-16;3496;18;0;0;0;539;0;23;0;0;NaN;NaN;0;4947;631729;675;44;8;1070;11699;0;21;46;35
sample-17;2796;19;0;0;0;435;0;8;0;0;NaN;NaN;0;4477;598055;977;41;8;376;10705;62;0;26;30
sample-18;2429;21;0;0;0;354;0;7;0;0;NaN;NaN;0;4295;574443;1251;34;0;350;13525;70;0;25;29
sample-19;3110;0;0;0;0;461;0;9;0;0;NaN;NaN;0;3423;627189;880;43;0;436;10107;0;0;36;28
sample-20;2959;20;0;0;0;397;0;11;0;0;NaN;NaN;0;3101;703039;233;27;0;611;3280;0;0;36;14
sample-21;3447;27;0;0;0;306;0;8;0;0;NaN;NaN;0;2532;732267;227;22;0;577;2664;0;0;35;16
sample-22;2094;20;0;0;0;265;0;9;0;0;NaN;NaN;0;3709;557612;602;28;0;164;6685;36;0;37;24
sample-23;2162;0;0;0;0;322;0;8;0;0;NaN;NaN;0;3765;574203;680;28;8;171;7165;0;0;33;30
sample-24;2535;17;0;0;0;273;0;12;0;0;NaN;NaN;0;2900;599743;685;30;10;174;8071;0;0;39;29
sample-25;2074;15;0;0;0;313;0;15;0;0;NaN;NaN;0;4737;585241;748;42;10;240;7269;0;0;35;33
sample-26;1804;15;0;0;0;292;0;16;0;0;NaN;NaN;0;4651;582543;719;44;8;233;7315;0;0;39;33
sample-27;2841;29;0;0;0;291;0;22;0;0;NaN;NaN;0;4889;661623;830;47;8;271;10475;0;37;51;42
sample-28;1823;0;0;0;0;273;0;13;0;0;NaN;NaN;0;4067;601747;751;38;10;253;7438;0;18;35;35
sample-29;1987;16;0;0;0;343;0;16;0;0;NaN;NaN;0;3692;591949;764;43;0;220;7872;0;0;36;35
sample-30;1973;0;0;0;0;301;0;14;0;0;NaN;NaN;0;4234;609626;745;39;8;161;7205;0;0;31;29
sample-31;2687;18;0;0;0;374;0;22;0;0;NaN;NaN;0;4149;600526;811;43;10;208;9669;0;0;40;42
sample-32;1703;19;0;0;0;346;0;17;0;0;NaN;NaN;0;3483;570569;845;47;12;175;8319;0;0;37;37
sample-33;1889;11;0;0;0;463;0;17;36;0;NaN;NaN;0;3530;546456;882;52;7;168;9081;0;0;34;34
sample-34;1450;147;21;0;0;857;0;74;0;0;NaN;NaN;0;4558;209803;3392;146;66;12224;73101;0;405;355;171
sample-35;1545;175;21;0;0;768;0;70;0;0;NaN;NaN;0;4151;232206;3396;140;62;12285;74813;0;397;362;175
sample-36;1610;271;0;0;0;798;0;65;0;0;NaN;NaN;0;3843;275882;3641;154;78;11986;78409;0;460;389;187
sample-37;1464;221;23;0;0;967;0;65;40;0;NaN;NaN;0;4271;247017;3378;149;64;11145;62221;0;366;315;157
sample-38;1661;195;26;0;0;794;0;68;0;0;NaN;NaN;0;5053;302183;3262;147;65;10295;65501;0;402;326;174
sample-39;1918;136;0;0;0;622;0;38;0;0;NaN;NaN;0;3707;480167;1527;86;23;4486;26706;0;174;153;88
sample-40;2770;67;0;0;0;519;0;28;0;0;NaN;NaN;0;3960;644319;782;58;0;1841;13115;0;69;83;58
sample-41;2400;32;0;0;0;445;0;21;0;0;NaN;NaN;0;3436;662305;591;48;11;1174;8533;0;40;59;42
sample-42;2718;41;0;0;0;464;0;23;0;0;NaN;NaN;0;2947;659368;658;51;0;1407;9825;0;57;72;45
sample-43;2064;28;0;0;0;354;0;19;0;0;NaN;NaN;0;3425;664146;556;46;0;1083;7382;0;37;49;39
sample-44;2108;38;0;0;0;489;0;22;0;0;NaN;NaN;0;3371;657190;581;46;0;1154;7513;0;48;46;40
sample-45;2310;27;0;0;0;361;0;15;50;0;NaN;NaN;0;4145;668386;537;45;0;965;7050;0;29;45;39